ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
20452;SCHNEIDER ZUANICH LUIS ALBERTO;CAMINO VILLARRICA LOS RISCOS KILOMETRO 5;CABA—AS;COMERCIALES
20454;NAHUM MARCHANT MARIA LUISA;AVDA. BERNARDO OHIGGINS 691;BAZAR - VENTA DE FLORES Y PLANTAS;COMERCIALES
20457;SUPERMERCADOS ELTIT LIMITADA;DEL PILLAN 425;SUPERMERCADO;COMERCIALES
20459;VILLALOBOS SILVA MARIA NOEMI;MIGUEL ANSORENA† 343;APART HOTEL;COMERCIALES
20460;BALBOA† GARAY DALILA;BRASIL† 322;CABAÒAS;COMERCIALES
20464;ULLOA METZGER EDUARDO ANDRES;GENERAL URRUTIA† 108 LOCAL 4;LAVANDERIA;COMERCIALES
20473;BASCUR BADILLA ELIAS O.;CAMINO INTERNACIONAL 1600;CONSTRUCTORA;COMERCIALES
20477;OLAVE LEIVA SERGIO ADRIAN;GERONIMO DE ALDERETE† 548;ARRIENDO DE CABA—AS;COMERCIALES
20478;MAN Y NATURE CIA LTDA;COLO COLO 111;RESIDENCIAL;COMERCIALES
20482;VERGARA GUZMAN RIGOBERTO;GERONIMO DE ALDERETE† 471;CABA—AS;COMERCIALES
20483;CONTRERAS CARRILLO ELIANA LUZ;GERONIMO DE ALDERETE† 471;LAVANDERIA, LAVASECOS Y TINTORERIAS;COMERCIALES
20494;TURISMO EXPEDICIONES AGUAVENTURA LIMITADA;SECTOR PALGUIN 336;AGENCIAS DE TURISMO AVENTURA;COMERCIALES
20499;TORRES SANDOVAL IRMA;LINCOYAN† 545;HOSPEDAJE;COMERCIALES
20500;ESPARZA TEJO NESTOR;VARIANTE CAMINO INTERNACIONAL 970;PAPAS FRITAS Y CONFITES BEBIDAS;COMERCIALES
20506;—ANCO† PAILLALEF† FLORINDA;LAS AMAPOLAS††††††††† 354;PROVISIONES / HOSPEDAJE;COMERCIALES
20512;CHOCOLATES RUCAMALAL PAMELA ALEJANDRA CASTRO ECHEVERRIA EIRL;AV. B. OHIGGINS 770 - A;CHOCOLATERIA†† CONFITERIA;COMERCIALES
20535;EPULEF† CISTERNA† JUAN† LUIS;LINCOYAN† 645;PROVISIONES Y JUEGOS ELECTRONICOS;COMERCIALES
20540;LEAL† FLORES†† JOSE SEGUNDO;C. INTERNACIONAL KM 3;MUEBLERIAS Y ARTESANIA;COMERCIALES
20545;BARRA MATAMALA HECTOR;C. TRES ESQUINAS ALT 600;CAMPING;COMERCIALES
20550;VALENZUELA JARAMILLO JUANA;VILLA SAN PEDRO S/N;SUPERMERCADOS - MAQUINAS DE DESTREZA Y HABILIDAD (2 MAQUINAS TIPO MINI FLIPPERS O MINI PINBALL Y 2 MAQUINAS TIPO BINGO);COMERCIALES
