"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2018","5,366.03","5,405.32","5,406.89","5,360.50","-","-0.73%"
"Aug 03, 2018","5,405.32","5,386.07","5,437.49","5,386.07","-","0.36%"
"Aug 02, 2018","5,386.07","5,398.37","5,401.17","5,349.27","-","-0.23%"
"Aug 01, 2018","5,398.37","5,434.44","5,454.35","5,378.77","-","-0.66%"
"Jul 31, 2018","5,434.44","5,382.69","5,444.02","5,382.28","-","0.96%"
"Jul 30, 2018","5,382.69","5,369.51","5,395.62","5,363.65","-","0.25%"
"Jul 27, 2018","5,369.51","5,442.68","5,457.35","5,358.23","-","-1.34%"
"Jul 26, 2018","5,442.68","5,457.96","5,483.04","5,436.32","-","-0.28%"
"Jul 25, 2018","5,457.96","5,450.19","5,468.11","5,429.47","-","0.14%"
"Jul 24, 2018","5,450.19","5,407.59","5,457.14","5,406.94","-","0.79%"
"Jul 23, 2018","5,407.59","5,430.13","5,437.28","5,402.73","-","-0.42%"
"Jul 20, 2018","5,430.13","5,371.21","5,433.27","5,366.65","-","1.10%"
"Jul 19, 2018","5,371.21","5,377.46","5,379.53","5,351.31","-","-0.12%"
"Jul 18, 2018","5,377.46","5,351.70","5,384.98","5,351.50","-","0.48%"
"Jul 17, 2018","5,351.70","5,305.39","5,363.95","5,292.85","-","0.87%"
"Jul 13, 2018","5,305.39","5,283.82","5,309.30","5,264.70","-","0.41%"
"Jul 12, 2018","5,283.82","5,297.48","5,302.70","5,278.19","-","-0.26%"
"Jul 11, 2018","5,297.48","5,323.29","5,323.29","5,277.81","-","-0.48%"
"Jul 10, 2018","5,323.29","5,325.52","5,332.36","5,308.14","-","-0.04%"
"Jul 09, 2018","5,325.52","5,284.64","5,333.17","5,281.60","-","0.77%"
"Jul 06, 2018","5,284.64","5,266.98","5,322.62","5,266.98","-","0.34%"
"Jul 05, 2018","5,266.98","5,243.81","5,278.14","5,243.81","-","0.44%"
"Jul 04, 2018","5,243.81","5,255.13","5,266.50","5,240.34","-","-0.22%"
"Jul 03, 2018","5,255.13","5,301.25","5,312.77","5,251.49","-","-0.87%"
"Jun 29, 2018","5,301.25","5,257.68","5,316.89","5,251.91","-","0.83%"
"Jun 28, 2018","5,257.68","5,276.44","5,282.99","5,245.94","-","-0.36%"
"Jun 27, 2018","5,276.44","5,292.61","5,318.20","5,270.90","-","-0.31%"
"Jun 26, 2018","5,292.61","5,285.53","5,317.44","5,271.38","-","0.13%"
"Jun 25, 2018","5,285.53","5,375.12","5,377.85","5,277.99","-","-1.67%"
"Jun 22, 2018","5,375.12","5,385.48","5,404.87","5,361.90","-","-0.19%"
"Jun 21, 2018","5,385.48","5,417.53","5,456.23","5,381.58","-","-0.59%"
"Jun 20, 2018","5,417.53","5,435.08","5,470.11","5,411.02","-","-0.32%"
"Jun 19, 2018","5,435.08","5,447.39","5,447.39","5,409.76","-","-0.23%"
"Jun 18, 2018","5,447.39","5,470.32","5,470.82","5,439.14","-","-0.42%"
"Jun 15, 2018","5,470.32","5,524.77","5,524.77","5,460.78","-","-0.98%"
"Jun 14, 2018","5,524.69","5,534.36","5,548.13","5,517.73","-","-0.17%"
"Jun 13, 2018","5,534.27","5,544.03","5,558.02","5,524.75","-","-0.18%"
"Jun 12, 2018","5,544.03","5,521.35","5,551.42","5,512.27","-","0.41%"
"Jun 11, 2018","5,521.35","5,525.37","5,561.01","5,512.22","-","-0.03%"
"Jun 08, 2018","5,523.03","5,467.87","5,528.15","5,449.03","-","1.01%"
"Jun 07, 2018","5,467.87","5,497.33","5,506.19","5,454.36","-","-0.54%"
"Jun 06, 2018","5,497.33","5,523.05","5,534.16","5,481.21","-","-0.47%"
"Jun 05, 2018","5,523.05","5,558.50","5,566.77","5,506.25","-","-0.64%"
"Jun 04, 2018","5,558.50","5,471.32","5,561.29","5,471.32","-","1.59%"
"Jun 01, 2018","5,471.32","5,455.09","5,480.21","5,438.79","-","0.30%"
"May 31, 2018","5,455.09","5,484.90","5,506.20","5,433.61","-","-0.54%"
"May 30, 2018","5,484.90","5,494.51","5,518.68","5,472.34","-","-0.17%"
"May 29, 2018","5,494.51","5,570.05","5,576.55","5,484.12","-","-1.36%"
"May 28, 2018","5,570.05","5,577.07","5,602.63","5,569.88","-","-0.12%"
"May 25, 2018","5,576.48","5,582.34","5,627.13","5,564.77","-","-0.01%"
"May 24, 2018","5,577.30","5,614.71","5,614.71","5,564.25","-","-0.63%"
"May 23, 2018","5,612.59","5,651.10","5,654.47","5,599.95","-","-0.68%"
"May 22, 2018","5,651.10","5,678.57","5,685.96","5,635.31","-","-0.30%"
"May 18, 2018","5,667.86","5,696.71","5,705.21","5,656.94","-","-0.38%"
"May 17, 2018","5,689.45","5,729.13","5,730.72","5,676.96","-","-0.67%"
"May 16, 2018","5,727.86","5,710.86","5,730.21","5,710.86","-","0.30%"
"May 15, 2018","5,710.86","5,695.82","5,718.79","5,676.26","-","0.26%"
"May 14, 2018","5,695.82","5,712.95","5,722.80","5,670.14","-","-0.12%"
"May 11, 2018","5,702.85","5,711.75","5,722.14","5,687.23","-","-0.13%"
"May 10, 2018","5,710.45","5,664.20","5,717.56","5,654.08","-","0.82%"
"May 09, 2018","5,664.20","5,648.30","5,684.29","5,648.23","-","0.34%"
"May 08, 2018","5,644.82","5,645.84","5,664.33","5,619.96","-","-0.02%"
"May 07, 2018","5,645.84","5,634.55","5,652.64","5,627.49","-","0.42%"
"May 04, 2018","5,622.24","5,642.06","5,649.65","5,616.44","-","-0.32%"
"May 03, 2018","5,640.10","5,706.97","5,706.97","5,634.29","-","-0.96%"
"May 02, 2018","5,695.02","5,711.96","5,715.21","5,681.72","-","-0.28%"
"Apr 30, 2018","5,710.90","5,691.37","5,730.72","5,687.49","-","0.36%"
"Apr 27, 2018","5,690.48","5,679.72","5,693.05","5,658.97","-","0.19%"
"Apr 26, 2018","5,679.65","5,665.17","5,706.85","5,662.70","-","0.26%"
"Apr 25, 2018","5,665.17","5,674.35","5,693.14","5,650.21","-","-0.16%"
"Apr 24, 2018","5,674.35","5,704.70","5,710.42","5,668.03","-","-0.53%"
"Apr 23, 2018","5,704.70","5,695.50","5,708.54","5,676.41","-","0.27%"
"Apr 20, 2018","5,689.47","5,711.86","5,711.86","5,671.89","-","-0.14%"
"Apr 19, 2018","5,697.48","5,690.79","5,702.94","5,673.81","-","0.12%"
"Apr 18, 2018","5,690.79","5,633.40","5,693.74","5,633.40","-","1.02%"
