"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2017","6,566.20","6,636.00","6,780.00","6,518.00","243.06K","-1.05%"
"Aug 30, 2017","6,636.00","6,683.30","6,690.00","6,600.00","241.88K","-0.71%"
"Aug 29, 2017","6,683.30","6,646.90","6,700.00","6,420.00","194.37K","0.55%"
"Aug 28, 2017","6,646.90","6,679.70","6,750.00","6,602.00","410.44K","-0.49%"
"Aug 25, 2017","6,679.70","6,530.00","6,679.90","6,530.00","104.31K","2.23%"
"Aug 24, 2017","6,533.90","6,587.80","6,585.00","6,530.50","100.42K","-0.82%"
"Aug 23, 2017","6,587.80","6,590.50","6,614.00","6,565.00","93.86K","-0.04%"
"Aug 22, 2017","6,590.50","6,541.90","6,617.00","6,542.00","191.96K","0.74%"
"Aug 21, 2017","6,541.90","6,609.00","6,674.80","6,530.00","186.11K","-0.99%"
"Aug 18, 2017","6,607.40","6,665.60","6,666.00","6,512.00","216.52K","-0.87%"
"Aug 17, 2017","6,665.60","6,721.90","6,815.00","6,650.00","251.05K","-0.84%"
"Aug 16, 2017","6,721.90","6,735.80","6,804.80","6,700.40","148.12K","-0.21%"
"Aug 14, 2017","6,735.80","6,807.40","6,805.10","6,660.00","100.20K","-1.05%"
"Aug 11, 2017","6,807.40","6,860.10","6,865.10","6,800.00","175.34K","-0.77%"
"Aug 10, 2017","6,860.10","6,826.00","6,891.00","6,820.10","214.23K","0.41%"
"Aug 09, 2017","6,832.00","6,897.00","6,891.00","6,816.00","797.46K","-0.94%"
"Aug 08, 2017","6,897.00","7,114.00","7,101.00","6,850.00","266.19K","-3.05%"
"Aug 07, 2017","7,114.00","7,124.70","7,118.00","7,010.00","83.81K","-0.15%"
"Aug 04, 2017","7,124.70","7,148.70","7,149.60","7,115.00","56.19K","-0.34%"
"Aug 03, 2017","7,148.70","7,188.20","7,216.00","7,115.00","171.02K","-0.55%"
"Aug 02, 2017","7,188.20","7,187.60","7,348.00","7,170.00","304.69K","0.01%"
"Aug 01, 2017","7,187.60","7,294.70","7,300.00","7,151.00","110.36K","-1.47%"
"Jul 31, 2017","7,294.70","7,409.10","7,409.10","7,250.00","312.79K","-1.54%"
"Jul 28, 2017","7,409.10","7,345.70","7,475.00","7,345.70","172.02K","0.86%"
"Jul 27, 2017","7,345.70","7,407.70","7,420.00","7,280.00","536.83K","-0.84%"
"Jul 26, 2017","7,407.70","7,499.00","7,499.00","7,370.00","228.04K","-0.52%"
"Jul 25, 2017","7,446.40","7,387.80","7,490.00","7,380.00","267.70K","0.79%"
"Jul 24, 2017","7,387.80","7,375.00","7,490.00","7,290.00","113.67K","0.51%"
"Jul 21, 2017","7,350.20","7,489.90","7,490.00","7,301.00","140.47K","-1.87%"
"Jul 20, 2017","7,489.90","7,398.20","7,570.00","7,412.00","291.46K","1.24%"
"Jul 19, 2017","7,398.20","7,411.60","7,404.20","7,361.00","239.35K","-0.18%"
"Jul 18, 2017","7,411.60","7,425.00","7,449.00","7,315.10","181.30K","-0.33%"
"Jul 17, 2017","7,435.90","7,275.70","7,487.00","7,270.00","206.91K","2.20%"
"Jul 14, 2017","7,275.70","7,225.90","7,350.00","7,242.30","186.19K","0.69%"
"Jul 13, 2017","7,225.90","7,203.50","7,288.00","7,200.00","232.46K","0.31%"
"Jul 12, 2017","7,203.50","7,167.00","7,237.70","7,152.00","370.53K","0.51%"
"Jul 11, 2017","7,167.00","7,255.50","7,256.00","7,122.00","242.95K","-1.22%"
"Jul 10, 2017","7,255.50","7,254.70","7,280.00","7,250.00","134.64K","0.01%"
"Jul 07, 2017","7,254.70","7,180.00","7,269.80","7,180.00","190.01K","1.04%"
"Jul 06, 2017","7,180.00","7,280.50","7,283.00","7,135.00","112.91K","-1.38%"
"Jul 05, 2017","7,280.50","7,270.00","7,299.00","7,250.00","195.67K","0.14%"
"Jul 04, 2017","7,270.00","7,287.80","7,300.00","7,239.90","65.39K","-0.24%"
"Jul 03, 2017","7,287.80","7,235.30","7,300.00","7,235.40","190.73K","0.73%"
"Jun 30, 2017","7,235.30","7,217.30","7,300.00","7,217.00","87.18K","0.25%"
"Jun 29, 2017","7,217.30","7,225.20","7,249.30","7,210.00","92.05K","-0.11%"
"Jun 28, 2017","7,225.20","7,310.00","7,300.00","7,200.00","446.73K","-1.16%"
